,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID
32193,Jefferson,Nordland,98358,2016,TESLA,MODEL X,200,24.0,POINT (-122.69107 48.05105),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,BEV,Y,Mid,ofelia.araujo@example.com
32196,Clark,Washougal,98671,2017,MERCEDES-BENZ,GLE-CLASS,10,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,aapo.luoma@example.com
32197,Clark,Yacolt,98675,2021,JEEP,WRANGLER,21,18.0,POINT (-122.40908 45.86679),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,ivanilda.ribeiro@example.com
32201,Pierce,Tacoma,98408,2017,FORD,FUSION,21,27.0,POINT (-122.44718 47.20144),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,bratislav.rasic@example.com
32208,Klickitat,Trout Lake,98650,2017,BMW,I3,97,14.0,POINT (-121.52529 45.99588),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,PHEV,Y,Low,kaya.hamzaoglu@example.com
32210,Walla Walla,Walla Walla,99362,2019,TESLA,MODEL S,270,16.0,POINT (-118.34261 46.07068),PACIFICORP,BEV,Y,High,zoe.diaz@example.com
32215,King,Seattle,98116,2022,VOLVO,XC60,35,34.0,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,malou.vanhuis@example.com
32216,Clark,Vancouver,98661,2017,BMW,330E,14,49.0,POINT (-122.62934 45.63201),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,roberto.guerrero@example.com
32219,Snohomish,Mukilteo,98275,2019,KIA,NIRO,239,21.0,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,BEV,Y,Mid,andrea.reynolds@example.com
32221,King,Kent,98030,2021,JEEP,WRANGLER,25,33.0,POINT (-122.19564 47.37271),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,faith.miller@example.com
32222,King,Bellevue,98005,2018,BMW,330E,14,48.0,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,umit.yalcin@example.com
32228,Grant,Mattawa,99349,2014,FORD,FUSION,19,13.0,POINT (-119.9 46.73777),PUD NO 2 OF GRANT COUNTY,PHEV,N,Low,chloe.larson@example.com
32229,Island,Clinton,98236,2017,HYUNDAI,SONATA,27,10.0,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,PHEV,N,Low,berta.chorniyvoron@example.com
32241,Yakima,Yakima,98902,2019,CHEVROLET,BOLT EV,238,14.0,POINT (-120.52301 46.60138),PACIFICORP,BEV,Y,Mid,izyaslav.stepoviy@example.com
32242,Spokane,Greenacres,99016,2016,BMW,X5,14,4.0,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,noah.ouellet@example.com
32246,Thurston,Olympia,98502,2020,VOLVO,XC60,18,35.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,PHEV,N,Low,eli.white@example.com
32252,Skagit,Mount Vernon,98273,2017,FORD,FUSION,21,10.0,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,PHEV,N,Low,catherine.pearson@example.com
32253,Thurston,Lacey,98516,2017,AUDI,A3,16,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,N,Low,jon.wilson@example.com
32273,Skamania,Stevenson,98648,2018,NISSAN,LEAF,151,14.0,POINT (-121.88258 45.69417),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,BEV,Y,Mid,matias.waara@example.com
32276,King,Seattle,98177,2019,KIA,NIRO,26,36.0,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ulku.kaya@example.com
32280,Thurston,Olympia,98501,2017,MERCEDES-BENZ,B-CLASS,87,35.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,BEV,Y,Low,leon.noel@example.com
32284,King,Auburn,98001,2016,KIA,SOUL,93,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,ullrich.kroner@example.com
32289,Spokane,Spokane,99203,2020,TESLA,MODEL 3,322,3.0,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,shyl.slry@example.com
32295,King,Seattle,98177,2016,FORD,FUSION,19,36.0,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,monique.schlegel@example.com
32303,Snohomish,Everett,98208,2016,FIAT,500,84,44.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,BEV,Y,Low,grigorije.danilovic@example.com
32305,Clallam,Port Angeles,98362,2020,CHRYSLER,PACIFICA,32,24.0,POINT (-123.4313 48.11872),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,PHEV,Y,Low,helge.krings@example.com
32306,Snohomish,Lake Stevens,98258,2017,AUDI,A3,16,44.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,PHEV,N,Low,umut.oztonga@example.com
32314,Kitsap,Bremerton,98312,2015,FIAT,500,87,35.0,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,BEV,Y,Low,rita.snyder@example.com
32316,Snohomish,Arlington,98223,2022,KIA,SORENTO,32,39.0,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,PHEV,Y,Low,visheslav.pedan@example.com
32323,Snohomish,Monroe,98272,2015,BMW,I3,81,39.0,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,BEV,Y,Low,ivana.jovic@example.com
32329,Mason,Hoodsport,98548,2016,TESLA,MODEL X,200,35.0,POINT (-123.14135 47.40639),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,BEV,Y,Mid,juan.blanchard@example.com
32333,Pierce,Gig Harbor,98332,2017,FORD,C-MAX,20,26.0,POINT (-122.60302 47.36223),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,pivoniya.titarenko@example.com
32336,Snohomish,Edmonds,98026,2013,SMART,FORTWO ELECTRIC DRIVE,68,21.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,BEV,Y,Low,eevi.kauppi@example.com
32341,Pierce,Edgewood,98372,2016,TESLA,MODEL X,200,31.0,POINT (-122.28556 47.18709),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,gabriel.grewal@example.com
32342,Spokane,Spokane,99223,2021,MINI,HARDTOP,110,6.0,POINT (-117.36043 47.63396),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,troy.fields@example.com
32344,King,Seattle,98118,2022,JEEP,WRANGLER,21,37.0,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,karen.lawson@example.com
32351,King,Renton,98059,2017,NISSAN,LEAF,107,11.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,logan.singh@example.com
32359,Chelan,Leavenworth,98826,2018,CHRYSLER,PACIFICA,33,12.0,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,PHEV,Y,Low,gabinio.almeida@example.com
32369,Clark,Vancouver,98660,2018,NISSAN,LEAF,151,49.0,POINT (-122.67156 45.63248),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,ava.singh@example.com
32372,King,Seattle,98178,2018,CHEVROLET,VOLT,53,37.0,POINT (-122.23825 47.49461),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,milena.srejovic@example.com
32375,King,Renton,98059,2022,JEEP,WRANGLER,21,11.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,jaxon.li@example.com
32376,Kitsap,Silverdale,98383,2021,JEEP,WRANGLER,25,23.0,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,PHEV,N,Low,jose.serrano@example.com
32402,King,Seattle,98117,2017,VOLKSWAGEN,E-GOLF,125,36.0,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,margarete.brun@example.com
32425,Kitsap,Port Orchard,98367,2014,FORD,FOCUS,76,26.0,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,BEV,Y,Low,lino.charles@example.com
32427,King,Seattle,98109,2016,VOLVO,XC90,13,36.0,POINT (-122.346385 47.630685),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,crystal.schmidt@example.com
32433,Clark,Battle Ground,98604,2021,TOYOTA,RAV4 PRIME,42,20.0,POINT (-122.5331 45.78092),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,samarth.naik@example.com
32435,Whatcom,Sedro Woolley,98284,2022,KIA,SORENTO,32,40.0,POINT (-122.23857 48.50858),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,sayali.chiplunkar@example.com
32436,King,Burien,98166,2018,CHRYSLER,PACIFICA,33,34.0,POINT (-122.34118 47.46665),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,serena.dasilva@example.com
32442,Spokane,Deer Park,99006,2016,KIA,SOUL,93,7.0,POINT (-117.47154 47.95431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Low,georgina.navarrete@example.com
32446,Pierce,Dupont,98327,2016,KIA,SOUL,93,28.0,POINT (-122.62954 47.09583),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,victoria.campos@example.com
32449,Cowlitz,Kelso,98626,2018,CHEVROLET,VOLT,53,19.0,POINT (-122.89868 46.14425),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,Y,Low,luisa.maestas@example.com
32454,Snohomish,Edmonds,98020,2021,AUDI,Q5 E,18,21.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,PHEV,N,Low,patrick.brown@example.com
32458,Spokane,Spokane,99223,2020,TESLA,MODEL S,337,6.0,POINT (-117.36043 47.63396),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,High,ali.durak@example.com
32468,King,Ravensdale,98038,2020,TESLA,MODEL Y,291,5.0,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,wicher.grootkoerkamp@example.com
32483,Spokane,Spokane Valley,99212,2018,CHRYSLER,PACIFICA,33,4.0,POINT (-117.3186 47.6505),BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,PHEV,Y,Low,calvin.porter@example.com
32490,King,Seattle,98103,2019,HYUNDAI,KONA,258,46.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,High,eeli.lampo@example.com
32491,King,Kent,98031,2015,TESLA,MODEL S,208,47.0,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,angelica.ramirez@example.com
32492,Pierce,Eatonville,98328,2018,CHEVROLET,VOLT,53,2.0,POINT (-122.26832 46.86733),"BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||OHOP MUTUAL LIGHT COMPANY, INC|PENINSULA LIGHT COMPANY",PHEV,Y,Low,bernard.nguyen@example.com
32494,Kittitas,Ellensburg,98926,2012,NISSAN,LEAF,73,13.0,POINT (-120.54872 46.99703),BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),BEV,Y,Low,elvia.paredes@example.com
32521,Lewis,Mossyrock,98564,2016,TESLA,MODEL S,210,20.0,POINT (-122.48446 46.52948),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,BEV,Y,Mid,ulrik.normann@example.com
32524,Pierce,Gig Harbor,98335,2022,BMW,530E,18,26.0,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,harper.wilson@example.com
32526,Ferry,Republic,99166,2020,TESLA,MODEL S,330,7.0,POINT (-118.73748 48.64426),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FERRY COUNTY,BEV,Y,High,antonia.roche@example.com
32528,King,Covington,98042,2017,PORSCHE,CAYENNE,14,47.0,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,sander.kragt@example.com
32534,Clark,Vancouver,98685,2019,VOLVO,XC60,17,18.0,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,carlos.vasquez@example.com
32538,Skagit,Marblemount,98267,2020,CHRYSLER,PACIFICA,32,39.0,POINT (-121.41604 48.52739),PUGET SOUND ENERGY INC,PHEV,Y,Low,vanesa.pinto@example.com
32540,Snohomish,Monroe,98272,2016,CHEVROLET,SPARK,82,39.0,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,BEV,Y,Low,avery.smith@example.com
32544,King,Issaquah,98029,2020,PORSCHE,TAYCAN,192,5.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,enis.roche@example.com
32551,Pierce,Gig Harbor,98332,2018,KIA,NIRO,26,26.0,POINT (-122.60302 47.36223),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,bernard.nguyen@example.com
32555,Pierce,Lakewood,98498,2017,PORSCHE,CAYENNE,14,28.0,POINT (-122.54795 47.17997),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,lisa.silva@example.com
32557,King,Seattle,98115,2017,FORD,C-MAX,20,46.0,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,amna.roneid@example.com
32561,Okanogan,Tonasket,98855,2014,CHEVROLET,VOLT,38,7.0,POINT (-119.43683 48.70854),PUD NO 1 OF OKANOGAN COUNTY,PHEV,Y,Low,marisol.jiminez@example.com
32564,Whatcom,Bellingham,98229,2019,TESLA,MODEL X,289,40.0,POINT (-122.45516 48.74487),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,BEV,Y,High,marie.sanchez@example.com
32568,King,Seattle,98112,2020,HONDA,CLARITY,47,43.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,marielle.lovold@example.com
32587,King,Seattle,98105,2019,TOYOTA,PRIUS PRIME,25,46.0,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,nelli.blohm@example.com
32588,Skagit,Burlington,98233,2016,NISSAN,LEAF,84,10.0,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,BEV,Y,Low,carter.moore@example.com
32602,King,Seattle,98136,2021,JEEP,WRANGLER,21,34.0,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,thomas.slawa@example.com
32607,Kitsap,Silverdale,98383,2018,BMW,X5,13,35.0,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,PHEV,N,Low,maya.ouellet@example.com
32609,Thurston,Olympia,98512,2017,BMW,I3,97,35.0,POINT (-122.92057 47.0031),PUGET SOUND ENERGY INC,PHEV,Y,Low,axel.renard@example.com
32610,Pierce,Ruston,98407,2020,CHEVROLET,BOLT EV,259,27.0,POINT (-122.51766 47.27779),BONNEVILLE POWER ADMINISTRATION||TOWN OF RUSTON - (WA)|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,High,magadar.yuzvenko@example.com
32613,Snohomish,Marysville,98270,2020,KIA,NIRO,239,39.0,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,BEV,Y,Mid,bernard.robertson@example.com
32622,Snohomish,Mountlake Terrace,98043,2021,BMW,X3,17,1.0,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,PHEV,N,Low,domingo.ortega@example.com
32633,King,Woodinville,98072,2016,BMW,I8,14,45.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,durad.zivkovic@example.com
32637,King,Seattle,98126,2017,BMW,I8,14,34.0,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,khymy.prs@example.com
32638,Thurston,Olympia,98503,2020,CHRYSLER,PACIFICA,32,2.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,PHEV,Y,Low,santiago.cruz@example.com
32642,Walla Walla,Burbank,99323,2018,CHEVROLET,BOLT EV,238,16.0,POINT (-119.01561 46.1992),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",BEV,Y,Mid,catherine.dean@example.com
32649,King,Seattle,98103,2014,BMW,I3,72,36.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,izyaslav.stepoviy@example.com
32650,Kitsap,Kingston,98346,2018,BMW,I3,97,23.0,POINT (-122.49771 47.79803),PUGET SOUND ENERGY INC,PHEV,Y,Low,antonio.vidal@example.com
32653,King,Seattle,98177,2018,KIA,NIRO,26,36.0,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,benjamin.freitag@example.com
32656,Clark,Vancouver,98664,2016,CHEVROLET,VOLT,53,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,laurie.morin@example.com
32672,Kitsap,Port Orchard,98366,2019,KIA,NIRO,26,26.0,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,PHEV,N,Low,claire.gomez@example.com
32673,King,Bellevue,98004,2010,TESLA,ROADSTER,245,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,swgnd.njty@example.com
32675,Okanogan,Tonasket,98855,2014,NISSAN,LEAF,84,7.0,POINT (-119.43683 48.70854),PUD NO 1 OF OKANOGAN COUNTY,BEV,Y,Low,julius.justi@example.com
32677,Clark,Camas,98607,2019,KIA,NIRO,26,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,lan.schakelaar@example.com
32679,King,Seattle,98112,2020,JAGUAR,I-PACE,234,43.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,lourdes.ramos@example.com
32680,King,Preston,98027,2018,TESLA,MODEL 3,215,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,kenney.vanmilligen@example.com
32684,Clark,Vancouver,98662,2016,TESLA,MODEL X,200,49.0,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,sonia.vega@example.com
32691,Franklin,Pasco,99301,2017,BMW,I3,97,9.0,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,PHEV,Y,Low,brennan.newman@example.com
32697,Pierce,Puyallup,98374,2014,FORD,C-MAX,19,25.0,POINT (-122.28449 47.146),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,greg.burton@example.com
32703,Spokane,Spokane,99224,2021,BMW,X3,17,6.0,POINT (-117.46996 47.59431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,brandy.black@example.com
32709,Pierce,Puyallup,98371,2018,CHRYSLER,PACIFICA,33,25.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,phuong.lousberg@example.com
32715,King,Kent,98031,2018,FORD,FUSION,21,47.0,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,anamaria.ozuna@example.com
32727,Pierce,Tacoma,98418,2020,TESLA,MODEL 3,308,27.0,POINT (-122.43874 47.22448),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,High,ruth.bang@example.com
32730,Snohomish,Snohomish,98296,2017,VOLKSWAGEN,E-GOLF,125,1.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,BEV,Y,Mid,darren.spencer@example.com
32732,Spokane,Spokane,99224,2018,HONDA,CLARITY,47,6.0,POINT (-117.46996 47.59431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,ozsu.velioglu@example.com
32733,Clark,Vancouver,98661,2013,FORD,C-MAX,19,49.0,POINT (-122.62934 45.63201),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,cleopatra.peixoto@example.com
32743,San Juan,Lopez Is,98261,2015,NISSAN,LEAF,84,40.0,POINT (-122.91395 48.52342),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,BEV,Y,Low,homero.lebron@example.com
32748,Whatcom,Lummi Island,98262,2015,NISSAN,LEAF,84,42.0,POINT (-122.68321 48.72043),PUD NO 1 OF WHATCOM COUNTY,BEV,Y,Low,jean.rolland@example.com
32755,Kitsap,Poulsbo,98370,2023,MINI,COUNTRYMAN,17,23.0,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,PHEV,N,Low,antonia.roche@example.com
32761,Grant,Moses Lake,98837,2020,TESLA,MODEL S,330,13.0,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,BEV,Y,High,jagdish.kouser@example.com
32765,Spokane,Spokane,99203,2020,TESLA,MODEL X,293,6.0,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,greice.martins@example.com
32766,Pierce,Tacoma,98407,2022,BMW,530E,18,27.0,POINT (-122.51766 47.27779),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,ellen.pietila@example.com
32767,Island,Oak Harbor,98277,2019,MERCEDES-BENZ,GLC-CLASS,10,10.0,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,PHEV,N,Low,ellen.rantanen@example.com
32773,Pierce,Joint Base Lewis Mcchord,98433,2020,TESLA,MODEL 3,322,28.0,POINT (-122.57908 47.10349),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,rh.khwty@example.com
32786,King,Renton,98055,2022,KIA,SORENTO,32,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,mstivoy.udovenko@example.com
32787,Franklin,Pasco,99301,2018,HONDA,CLARITY,47,9.0,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,PHEV,Y,Low,maximo.monteiro@example.com
32801,Whatcom,Maple Falls,98266,2016,CHEVROLET,VOLT,53,42.0,POINT (-122.07728 48.92369),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,carter.jackson@example.com
32805,Pierce,Orting,98360,2019,CHEVROLET,BOLT EV,238,2.0,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,carter.moore@example.com
32807,Pierce,South Hill,98375,2018,MITSUBISHI,OUTLANDER,22,2.0,POINT (-122.30116 47.1165),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,joel.koski@example.com
32808,Kittitas,Cle Elum,98922,2015,NISSAN,LEAF,84,13.0,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,BEV,Y,Low,abigail.rendon@example.com
32815,Island,Freeland,98249,2015,BMW,I3,72,10.0,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,PHEV,Y,Low,ahmet.kuday@example.com
32821,Snohomish,Snohomish,98296,2014,MERCEDES-BENZ,B-CLASS,87,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,BEV,Y,Low,nishitha.keshri@example.com
32827,Clark,Vancouver,98665,2018,BMW,I3,114,49.0,POINT (-122.64443 45.67871),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,jayden.addy@example.com
32830,King,Redmond,98053,2020,AUDI,Q5 E,20,45.0,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,stjepan.lehnen@example.com
32835,King,Seattle,98133,2015,FORD,FUSION,19,46.0,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,dawn.frazier@example.com
32844,Snohomish,Everett,98203,2018,BMW,I3,114,38.0,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,BEV,Y,Mid,pranay.nagane@example.com
32845,Grays Harbor,Aberdeen,98520,2018,NISSAN,LEAF,151,19.0,POINT (-123.81619 46.97606),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,BEV,Y,Mid,ulita.andriievska@example.com
32853,Pierce,Buckley,98321,2022,BMW,X5,30,31.0,POINT (-122.02523 47.16299),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,carl.christensen@example.com
32863,Yakima,Yakima,98902,2021,AUDI,Q5 E,18,14.0,POINT (-120.52301 46.60138),PACIFICORP,PHEV,N,Low,shane.soto@example.com
32872,Pierce,Lakebay,98349,2014,FORD,C-MAX,19,26.0,POINT (-122.75493 47.25035),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,mats.hogendoorn@example.com
32875,King,Baring,98224,2014,TESLA,MODEL S,208,39.0,POINT (-121.48491 47.77193),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,carmelo.robert@example.com
32876,Pierce,Fircrest,98466,2018,VOLVO,XC60,17,28.0,POINT (-122.5338 47.23594),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,matea.withaar@example.com
