,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
1903,Island,Camano Island,98282,2018,KIA,SOUL EV,111,10.0,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,BEV,Y,Mid,justin.davis@example.com,justin.davis@example.com,male,27
1904,King,Black Diamond,98010,2022,BMW,X5,30,5.0,POINT (-122.00143 47.30893),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,lauri.kivela@example.com,lauri.kivela@example.com,male,68
1905,King,Kirkland,98033,2021,CHRYSLER,PACIFICA,32,48.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,nikolaos.kessel@example.com,nikolaos.kessel@example.com,male,49
1906,Benton,Richland,99352,2020,CHEVROLET,BOLT EV,259,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,High,tyra.lagesen@example.com,tyra.lagesen@example.com,female,47
1907,King,Bellevue,98004,2014,BMW,I8,14,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,maurizio.olivier@example.com,maurizio.olivier@example.com,male,46
1908,Clark,Washougal,98671,2020,TESLA,MODEL 3,308,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,sita.nair@example.com,sita.nair@example.com,female,43
1909,Kitsap,Suquamish,98392,2018,CHRYSLER,PACIFICA,33,23.0,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,PHEV,Y,Low,kyrill.hardy@example.com,kyrill.hardy@example.com,male,69
1910,King,Renton,98055,2017,TESLA,MODEL X,200,37.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,emil.jensen@example.com,emil.jensen@example.com,male,29
1911,King,North Bend,98045,2021,JEEP,WRANGLER,21,5.0,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,bento.silveira@example.com,bento.silveira@example.com,male,63
1912,King,Seattle,98118,2022,LEXUS,NX,37,37.0,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,vojislav.andelic@example.com,vojislav.andelic@example.com,male,66
1913,Pierce,Dupont,98327,2021,CHRYSLER,PACIFICA,32,28.0,POINT (-122.62954 47.09583),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,delphine.clark@example.com,delphine.clark@example.com,female,64
1914,Thurston,Olympia,98503,2019,TESLA,MODEL X,289,2.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,BEV,Y,High,lyn.aalyzdh@example.com,lyn.aalyzdh@example.com,female,77
1915,Pierce,Tacoma,98465,2017,CHEVROLET,BOLT EV,238,28.0,POINT (-122.52886 47.24977),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,bonnie.butt@example.com,bonnie.butt@example.com,female,58
1916,Clark,Washougal,98671,2019,HONDA,CLARITY,47,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,michelle.jenkins@example.com,michelle.jenkins@example.com,female,21
1917,Clark,Ridgefield,98642,2017,BMW,I3,97,18.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,amanda.armas@example.com,amanda.armas@example.com,female,43
1918,King,Enumclaw,98022,2020,LINCOLN,AVIATOR,21,5.0,POINT (-121.99136 47.20433),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,palac.ravlyuk@example.com,palac.ravlyuk@example.com,male,49
1919,King,Lake Forest Park,98155,2020,AUDI,A8 E,17,46.0,POINT (-122.31327 47.75736),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ahmet.yetkiner@example.com,ahmet.yetkiner@example.com,male,77
1920,Snohomish,Bothell,98021,2021,MINI,COUNTRYMAN,17,1.0,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,PHEV,N,Low,christopher.simmons@example.com,christopher.simmons@example.com,male,24
1921,King,Redmond,98072,2022,VOLVO,XC60,35,45.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,duane.peck@example.com,duane.peck@example.com,male,25
1922,Snohomish,Bothell,98012,2016,AUDI,A3,16,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,N,Low,gabriele.masson@example.com,gabriele.masson@example.com,male,22
1923,Clark,Vancouver,98662,2018,FORD,FUSION,21,17.0,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,bhr.nkwnzr@example.com,bhr.nkwnzr@example.com,female,30
1924,Snohomish,Everett,98208,2018,FORD,FUSION,21,1.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,PHEV,N,Low,chanakya.hiremath@example.com,chanakya.hiremath@example.com,male,28
1925,Walla Walla,Walla Walla,99362,2020,TESLA,MODEL X,293,16.0,POINT (-118.34261 46.07068),PACIFICORP,BEV,Y,High,olivia.gagne@example.com,olivia.gagne@example.com,female,55
1926,Snohomish,Monroe,98272,2019,BMW,I3,126,39.0,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,PHEV,Y,Mid,rainier.jongejans@example.com,rainier.jongejans@example.com,male,71
1927,King,Renton,98056,2021,AUDI,E-TRON,222,11.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,kleopatra.macuka@example.com,kleopatra.macuka@example.com,female,40
1928,Pierce,Parkland,98446,2016,NISSAN,LEAF,84,25.0,POINT (-122.37571 47.16104),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Low,ege.ozkara@example.com,ege.ozkara@example.com,female,66
1929,King,Redmond,98052,2014,FORD,FUSION,19,45.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ida.adam@example.com,ida.adam@example.com,female,76
1930,Snohomish,Edmonds,98020,2018,TESLA,MODEL S,249,21.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,BEV,Y,Mid,marine.chevalier@example.com,marine.chevalier@example.com,female,53
1931,Pierce,Lakewood,98499,2015,TESLA,MODEL S,208,29.0,POINT (-122.51495 47.16195),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,barbara.casanova@example.com,barbara.casanova@example.com,female,53
1932,Snohomish,Everett,98208,2018,HONDA,CLARITY,47,38.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,PHEV,Y,Low,natacha.marie@example.com,natacha.marie@example.com,female,75
1933,Clark,Vancouver,98665,2018,BMW,530E,14,49.0,POINT (-122.64443 45.67871),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,evelyn.wang@example.com,evelyn.wang@example.com,female,68
1934,King,Vashon,98070,2022,KIA,NIRO,26,34.0,POINT (-122.4573 47.44929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,jaime.leon@example.com,jaime.leon@example.com,male,66
1935,King,Seattle,98146,2016,BMW,I3,72,34.0,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,arkadiy.polyarush@example.com,arkadiy.polyarush@example.com,male,57
1936,Spokane,Veradale,99037,2012,MITSUBISHI,I-MIEV,62,4.0,POINT (-117.19631 47.65706),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Low,petter.nordgaard@example.com,petter.nordgaard@example.com,male,42
1937,Spokane,Colbert,99005,2021,AUDI,Q5 E,18,7.0,POINT (-117.35414 47.83743),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,hugo.longoria@example.com,hugo.longoria@example.com,male,35
1938,Whitman,Pullman,99163,2013,TESLA,MODEL S,208,9.0,POINT (-117.18147 46.73015),AVISTA CORP,BEV,Y,Mid,deekshitha.shet@example.com,deekshitha.shet@example.com,female,41
1939,Yakima,Yakima,98902,2012,NISSAN,LEAF,73,14.0,POINT (-120.52301 46.60138),PACIFICORP,BEV,Y,Low,ronnie.long@example.com,ronnie.long@example.com,male,44
1940,Yakima,Yakima,98902,2014,FORD,C-MAX,19,14.0,POINT (-120.52301 46.60138),PACIFICORP,PHEV,N,Low,glib.zosenko@example.com,glib.zosenko@example.com,male,53
1941,King,Seatac,98188,2015,NISSAN,LEAF,84,33.0,POINT (-122.28879 47.44538),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,justin.williams@example.com,justin.williams@example.com,male,62
1942,Clark,Vancouver,98660,2017,BMW,330E,14,49.0,POINT (-122.67156 45.63248),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,warner.plugge@example.com,warner.plugge@example.com,male,44
1943,King,Seattle,98118,2015,FIAT,500,87,37.0,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,saanvi.kulkarni@example.com,saanvi.kulkarni@example.com,female,24
1944,King,Kirkland,98033,2022,AUDI,Q5,22,48.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,paola.cardoso@example.com,paola.cardoso@example.com,female,39
1945,Clark,Vancouver,98664,2022,AUDI,Q5,23,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,galina.potulnickiy@example.com,galina.potulnickiy@example.com,female,23
1946,Snohomish,Lake Stevens,98258,2017,CHEVROLET,VOLT,53,39.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,PHEV,Y,Low,hipolito.rodrigues@example.com,hipolito.rodrigues@example.com,male,58
1947,Douglas,Orondo,98843,2022,VOLVO,XC90,35,12.0,POINT (-120.22795 47.62352),PUD NO 1 OF DOUGLAS COUNTY,PHEV,Y,Low,freja.pedersen@example.com,freja.pedersen@example.com,female,42
1948,King,Kent,98030,2022,KIA,NIRO,26,47.0,POINT (-122.19564 47.37271),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,frederikke.hansen@example.com,frederikke.hansen@example.com,male,47
1949,Snohomish,Everett,98208,2022,TOYOTA,PRIUS PRIME,25,44.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,PHEV,N,Low,ilda.nogueira@example.com,ilda.nogueira@example.com,female,22
1950,King,Seattle,98122,2018,MERCEDES-BENZ,GLC-CLASS,9,37.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,emilio.cabrera@example.com,emilio.cabrera@example.com,male,39
1951,Thurston,Olympia,98501,2020,JAGUAR,I-PACE,234,20.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,BEV,Y,Mid,timeo.girard@example.com,timeo.girard@example.com,male,53
1952,San Juan,Friday Harbor,98250,2019,VOLKSWAGEN,E-GOLF,125,40.0,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,BEV,Y,Mid,aleksa.ivkov@example.com,aleksa.ivkov@example.com,female,48
1953,Clark,Camas,98607,2019,CHEVROLET,BOLT EV,238,14.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,fenneken.vanselm@example.com,fenneken.vanselm@example.com,female,52
1954,King,Sammamish,98074,2022,HYUNDAI,SANTA FE,31,45.0,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,marvio.moreira@example.com,marvio.moreira@example.com,male,46
1955,King,Renton,98055,2020,TOYOTA,PRIUS PRIME,25,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,milla.peltola@example.com,milla.peltola@example.com,female,47
1956,Mason,Union,98592,2016,PORSCHE,CAYENNE,14,35.0,POINT (-123.09944 47.35689),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,PHEV,N,Low,charles.gonzalez@example.com,charles.gonzalez@example.com,male,23
1957,Asotin,Clarkston,99403,2015,NISSAN,LEAF,84,9.0,POINT (-117.04556 46.41402),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||PUD NO 1 OF ASOTIN COUNTY,BEV,Y,Low,afsar.kurutluoglu@example.com,afsar.kurutluoglu@example.com,female,28
1958,Thurston,Rochester,98579,2020,KIA,NIRO,239,20.0,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,BEV,Y,Mid,kupava.dudik@example.com,kupava.dudik@example.com,female,75
1959,King,Seattle,98104,2021,BMW,X5,30,43.0,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,leo.toivonen@example.com,leo.toivonen@example.com,male,71
1960,King,Shoreline,98155,2019,FORD,FUSION,26,32.0,POINT (-122.31327 47.75736),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ahmad.zakariassen@example.com,ahmad.zakariassen@example.com,male,73
1961,King,Seattle,98125,2012,TOYOTA,PRIUS PLUG-IN,6,46.0,POINT (-122.3026 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,neysa.adiga@example.com,neysa.adiga@example.com,female,37
1962,King,Pacific,98047,2014,TOYOTA,PRIUS PLUG-IN,6,30.0,POINT (-122.24692 47.26465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mia.armstrong@example.com,mia.armstrong@example.com,female,47
1963,Clark,Vancouver,98686,2011,CHEVROLET,VOLT,35,17.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,gul.bolatli@example.com,gul.bolatli@example.com,female,47
1964,King,Redmond,98053,2020,BMW,X3,17,45.0,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,praneetha.jain@example.com,praneetha.jain@example.com,female,27
1965,Thurston,Lacey,98516,2019,CHRYSLER,PACIFICA,32,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,Y,Low,elijah.lopez@example.com,elijah.lopez@example.com,male,44
1966,King,Seattle,98103,2016,NISSAN,LEAF,84,46.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,charles.wood@example.com,charles.wood@example.com,male,42
1967,King,Burien,98168,2018,TESLA,MODEL 3,215,33.0,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,konrad.torkelsen@example.com,konrad.torkelsen@example.com,male,58
1968,King,Issaquah,98029,2018,PORSCHE,PANAMERA,16,5.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,caroline.nielsen@example.com,caroline.nielsen@example.com,female,25
1969,Snohomish,Marysville,98271,2015,CHEVROLET,VOLT,38,38.0,POINT (-122.19388 48.15353),PUGET SOUND ENERGY INC,PHEV,Y,Low,nella.polon@example.com,nella.polon@example.com,female,23
1970,Pierce,Gig Harbor,98329,2019,NISSAN,LEAF,150,26.0,POINT (-122.72457 47.38165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,susi.schwerdtfeger@example.com,susi.schwerdtfeger@example.com,female,47
1971,Pierce,Puyallup,98371,2018,CADILLAC,CT6,31,25.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,mason.ross@example.com,mason.ross@example.com,male,28
1972,King,Auburn,98001,2019,CHEVROLET,VOLT,53,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,jacob.walker@example.com,jacob.walker@example.com,male,34
1973,Snohomish,Arlington,98223,2021,JEEP,WRANGLER,25,39.0,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,PHEV,N,Low,bertram.petersen@example.com,bertram.petersen@example.com,male,64
1974,King,Kenmore,98028,2016,CHEVROLET,SPARK,82,46.0,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,santiago.parra@example.com,santiago.parra@example.com,male,62
1975,Clark,Vancouver,98664,2017,FIAT,500,84,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,angie.little@example.com,angie.little@example.com,female,52
1976,Spokane,Spokane,99202,2020,TESLA,MODEL 3,308,3.0,POINT (-117.3797 47.65548),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,mhdy.jaafry@example.com,mhdy.jaafry@example.com,male,56
1977,King,Des Moines,98198,2021,BMW,X5,30,33.0,POINT (-122.29592 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ceylan.bademci@example.com,ceylan.bademci@example.com,female,71
1978,Pierce,Tacoma,98444,2017,CHEVROLET,VOLT,53,29.0,POINT (-122.46495 47.16778),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,aria.king@example.com,aria.king@example.com,female,29
1979,King,Shoreline,98133,2014,CHEVROLET,SPARK,82,32.0,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,kassandra.kalinchuk@example.com,kassandra.kalinchuk@example.com,female,59
1980,Kitsap,Poulsbo,98370,2023,KIA,SPORTAGE,34,23.0,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,PHEV,Y,Low,raquel.flores@example.com,raquel.flores@example.com,female,23
1981,King,Sammamish,98075,2013,FORD,FUSION,19,41.0,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,umbelina.gomes@example.com,umbelina.gomes@example.com,female,66
1982,Spokane,Spokane,99223,2022,MINI,COUNTRYMAN,17,6.0,POINT (-117.36043 47.63396),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,ruben.lozano@example.com,ruben.lozano@example.com,male,52
1983,King,Bellevue,98006,2018,AUDI,A3,16,41.0,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,sowmya.patil@example.com,sowmya.patil@example.com,female,54
1984,Kitsap,Port Orchard,98329,2017,BMW,I3,97,26.0,POINT (-122.72457 47.38165),PUGET SOUND ENERGY INC,PHEV,Y,Low,herculano.aragao@example.com,herculano.aragao@example.com,male,29
1985,King,Auburn,98001,2017,KIA,SOUL EV,93,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,uros.sakic@example.com,uros.sakic@example.com,male,35
1986,Snohomish,Edmonds,98026,2020,KIA,NIRO,239,21.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,BEV,Y,Mid,rwnykh.glshn@example.com,rwnykh.glshn@example.com,female,70
1987,King,Seattle,98102,2018,TOYOTA,PRIUS PRIME,25,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,olivia.white@example.com,olivia.white@example.com,female,76
1988,King,Newcastle,98059,2022,TOYOTA,RAV4 PRIME,42,41.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ava.patel@example.com,ava.patel@example.com,female,27
1989,Pierce,Spanaway,98387,2018,HONDA,CLARITY,47,29.0,POINT (-122.41046 47.06512),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,ingbert.hecker@example.com,ingbert.hecker@example.com,male,58
1990,Pierce,Puyallup,98371,2015,FORD,C-MAX,19,31.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,melike.poyrazoglu@example.com,melike.poyrazoglu@example.com,female,54
1991,King,Newcastle,98056,2014,CHEVROLET,VOLT,38,41.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ftmhzhr.qsmy@example.com,ftmhzhr.qsmy@example.com,female,61
1992,King,Seattle,98199,2015,FORD,FUSION,19,36.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,aleksi.peura@example.com,aleksi.peura@example.com,male,30
1993,King,Burien,98166,2016,TESLA,MODEL X,200,34.0,POINT (-122.34118 47.46665),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,armando.king@example.com,armando.king@example.com,male,78
1994,Pierce,Bonney Lake,98391,2015,FORD,C-MAX,19,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,minttu.erkkila@example.com,minttu.erkkila@example.com,female,48
1995,King,Yarrow Point,98004,2018,AUDI,A3,16,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,joel.jarvela@example.com,joel.jarvela@example.com,male,41
1996,Grays Harbor,Mccleary,98557,2012,CHEVROLET,VOLT,35,24.0,POINT (-123.26405 47.04946),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,PHEV,Y,Low,abelardo.lima@example.com,abelardo.lima@example.com,male,40
1997,Whatcom,Lynden,98264,2018,FORD,FUSION,21,42.0,POINT (-122.45079 48.9429),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,pooja.nagane@example.com,pooja.nagane@example.com,female,35
1998,King,Maple Valley,98038,2016,VOLVO,XC90,13,5.0,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,dositeu.dapaz@example.com,dositeu.dapaz@example.com,male,66
1999,Clark,Washougal,98671,2021,TOYOTA,PRIUS PRIME,25,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,jeremy.young@example.com,jeremy.young@example.com,male,37
2000,Clark,Washougal,98671,2021,TOYOTA,PRIUS PRIME,25,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,jeremy.young@example.com,jeremy.young@example.com,male,32
2001,King,Carnation,98014,2019,FORD,FUSION,26,5.0,POINT (-121.91353 47.64901),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mitchell.morrison@example.com,mitchell.morrison@example.com,male,65
2002,King,Bellevue,98004,2015,FIAT,500,87,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,cristine.pereira@example.com,cristine.pereira@example.com,female,50
2003,King,Seattle,98126,2012,TOYOTA,PRIUS PLUG-IN,6,34.0,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,javier.reed@example.com,javier.reed@example.com,male,55
2004,Pierce,South Hill,98374,2018,CHEVROLET,VOLT,53,2.0,POINT (-122.28449 47.146),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,sr.prs@example.com,sr.prs@example.com,female,77
2005,Pierce,South Hill,98374,2018,CHEVROLET,VOLT,53,2.0,POINT (-122.28449 47.146),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,sr.prs@example.com,sr.prs@example.com,female,31
2006,Snohomish,Edmonds,98037,2013,TESLA,MODEL S,208,32.0,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,BEV,Y,Mid,samantha.osullivan@example.com,samantha.osullivan@example.com,female,50
2007,Thurston,Olympia,98501,2015,FORD,FUSION,19,22.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,PHEV,N,Low,sonja.renard@example.com,sonja.renard@example.com,female,50
2008,Spokane,Spokane,99223,2020,CHEVROLET,BOLT EV,259,6.0,POINT (-117.36043 47.63396),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,hunter.williams@example.com,hunter.williams@example.com,male,38
2009,King,Seatac,98188,2023,KIA,SPORTAGE,34,33.0,POINT (-122.28879 47.44538),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,willie.bates@example.com,willie.bates@example.com,female,33
2010,Pierce,Gig Harbor,98329,2017,BMW,330E,14,26.0,POINT (-122.72457 47.38165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,antonietta.moulin@example.com,antonietta.moulin@example.com,female,65
2011,Mason,Shelton,98584,2019,MITSUBISHI,OUTLANDER,22,35.0,POINT (-123.10565 47.21248),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,N,Low,vukota.dokic@example.com,vukota.dokic@example.com,male,68
2012,Mason,Shelton,98584,2019,MITSUBISHI,OUTLANDER,22,35.0,POINT (-123.10565 47.21248),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,N,Low,vukota.dokic@example.com,vukota.dokic@example.com,male,39
2013,King,Renton,98055,2021,JEEP,WRANGLER,21,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,emil.rintala@example.com,emil.rintala@example.com,male,25
2014,Cowlitz,Longview,98632,2021,BMW,I3,153,19.0,POINT (-122.95058 46.14681),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,Y,Mid,adilio.viana@example.com,adilio.viana@example.com,male,36
2015,Snohomish,Snohomish,98290,2022,TOYOTA,RAV4 PRIME,42,39.0,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,PHEV,Y,Low,siddharth.rajesh@example.com,siddharth.rajesh@example.com,male,67
